school,province,school_level,school_types
北方民族大学,宁夏,双非,民族
北方民族大学,宁夏,双非,民族
涉外办学,北京,双非,其他
宁波大学,浙江,双非,综合
青岛大学,山东,双非,综合
上海应用技术大学,上海,双非,综合
桂林理工大学,广西,双非,理工
兰州大学,甘肃,985,综合
中国地震局地壳应力研究所,北京,双非,公益类非盈利性科研单位
首都师范大学,北京,双非,综合
卫生部北京老年医学研究所,北京,双非,其他
黑龙江省科学院,黑龙江,双非,其他
济南大学,山东,双非,综合
河北大学,河北,双非,综合
江西理工大学,江西,双非,理工
重庆科技学院,重庆,双非,理工
盐城工学院,江苏,双非,工科
长春大学,吉林,双非,综合
河北大学,河北,双非,综合
山东财经大学,山东,双非,财经
中科院大连化学物理研究所,辽宁,双非,其他
佛山科学技术学院,广东,双非,理工
辽宁工程技术大学,辽宁,双非,理工
山东工商学院,山东,双非,财经类
上海财经大学,上海,985,财经
宝鸡文理学院,陕西,双非,综合
安徽师范大学,安徽,双非,师范
辽宁工程技术大学,辽宁,双非,理工
厦门大学,福建,985,综合
福建师范大学,福建,双非,师范
西南科技大学,四川,双非,理工
中科院大连化学物理研究所,辽宁,双非,其他
中国计量科学研究院,北京,双非,其他
华南农业大学,广东,211,农林
辽宁科技大学,辽宁,双非,理工
首都师范大学,北京,双非,综合
武汉轻工大学,湖北,双非,理工
浙江农林大学,浙江,双非,农林
哈尔滨工程大学,黑龙江,双非,理工
西京学院,陕西,双非,理工
安徽理工大学,安徽,双非,理工
浙江理工大学,浙江,双非,理工
江西师范大学,江西,双非,师范
北京石油化工学院,北京,双非,理工
渤海大学,辽宁,双非,综合
中国航天科技集团公司九院704所,北京,双非,其他
北京化工研究院,北京,双非,其他
武汉体育学院,湖北,双非,体育
武汉数字工程研究所,湖北,双非,其他
江西理工大学,江西,双非,理工
华南师范大学,广东,211,师范
中国航天科技集团公司九院772所,北京,双非,其他
北京物资学院,北京,双非,财经
浙江农林大学,浙江,双非,农林
安徽工程大学,安徽,双非,理工
河北工程大学,河北,双非,理工
福建师范大学,福建,双非,师范
中北大学,山西,双非,综合
中科院地质与地球物理研究所,北京,双非,其他
中科院云南天文台,云南,双非,其他
内蒙古农业大学,内蒙古,双非,农林
北京石油化工学院,北京,双非,理工
宁波大学,浙江,双非,综合
上海应用技术大学,上海,双非,综合
阜阳师范大学,安徽,双非,师范
渤海大学,辽宁,双非,综合
中国人民大学,北京,985,综合
渤海大学,辽宁,双非,综合
华南农业大学,广东,211,农林
大连海洋大学,辽宁,双非,农林
北京工商大学,北京,双非,综合
湖南工业大学,湖南,双非,理工
河南理工大学,河南,双非,理工
河北经贸大学,河北,双非,财经
宁波大学,浙江,双非,综合
辽宁工程技术大学,辽宁,双非,理工
大连海洋大学,辽宁,双非,农林
长江大学,湖北,双非,综合
西京学院,北京,双非,理工
福建农林大学,福建,双非,农林
牡丹江师范学院,黑龙江,双非,师范（综合型）
牡丹江师范学院,黑龙江,双非,师范（综合型）
广西医科大学,广西,双非,医药
大连大学,辽宁,双非,综合
湖北工业大学,湖北,双非,理工
福建农林大学,福建,双非,农林
武汉科技大学,湖北,双非,理工
南昌航空大学,江西,双非,理工
南昌航空大学,江西,双非,理工
南昌航空大学,江西,双非,理工
南昌航空大学,江西,双非,理工
南昌航空大学,江西,双非,理工
河北师范大学,河北,双非,师范
西安科技大学,陕西,双非,理工
华东交通大学,江西,双非,理工
右江民族医学院,广西,双非,医药
南昌航空大学,江西,双非,理工
国家海洋局第二海洋研究所,北京,双非,其他
中科院近代物理研究所,甘肃,双非,其他
中共浙江省委党校,浙江,双非,其他
中国航空研究院626所,黑龙江,双非,其他
中科院成都有机化学研究所,四川,双非,其他
中国地震局地震研究所,北京,双非,其他
北京有色金属研究总院,北京,双非,中央企业
南昌航空大学,江西,双非,理工
浙江海洋大学,浙江,双非,"农林
[7]"
温州医科大学,浙江,双非,医药
宁波大学,浙江,双非,综合
宁波大学,浙江,双非,综合
常州大学,江苏,双非,理工
华南农业大学,广东,211,农林
天津职业技术师范大学,天津,双非,师范
南宁师范大学,广西,双非,师范
云南师范大学,云南,双非,师范
中国计量大学,浙江,双非,理工
武汉轻工大学,湖北,双非,理工
武汉轻工大学,湖北,双非,理工
浙江海洋大学,浙江,双非,"农林
[7]"
北京工商大学,北京,双非,综合
安徽医科大学,安徽,双非,医药
天津理工大学,天津,双非,理工
天津理工大学,天津,双非,理工
武汉纺织大学,湖北,双非,理工
中国药科大学,江苏,985,医药
河北大学,河北,双非,综合
深圳大学,广东,双非,综合
广州大学,广东,双非,综合
江苏海洋大学,江苏,双非,理工
温州大学,浙江,双非,综合
五邑大学,广东,双非,综合
长春工业大学,吉林,双非,理工
华北理工大学,河北,双非,综合
宝鸡文理学院,陕西,双非,综合
宝鸡文理学院,陕西,双非,综合
宝鸡文理学院,陕西,双非,综合
东北林业大学,黑龙江,985,林业类
南京林业大学,江苏,双非,农林
上海师范大学,上海,双非,师范
江西科技师范大学,江西,双非,师范
重庆科技学院,重庆,双非,理工
武汉轻工大学,湖北,双非,理工
南京邮电大学,江苏,双非,综合
浙江理工大学,浙江,双非,理工
重庆科技学院,重庆,双非,理工
南宁师范大学,广西,双非,师范
沈阳体育学院,辽宁,双非,体育
温州大学,浙江,双非,综合
天津科技大学,天津,双非,理工
大连交通大学,辽宁,双非,理工
五邑大学,广东,双非,综合
江苏大学,江苏,双非,综合
东北石油大学,黑龙江,双非,理工
东北石油大学,黑龙江,双非,理工
东北石油大学,黑龙江,双非,理工
安徽大学,安徽,211,综合
河南工业大学,河南,双非,理工
长沙理工大学,湖南,双非,理工
哈尔滨商业大学,黑龙江,双非,财经
重庆大学,重庆,985,综合
南昌大学,江西,211,综合
温州医科大学,浙江,双非,医药
长江大学,湖北,双非,综合
吉林外国语大学,吉林,双非,语言类
吉林化工学院,吉林,双非,工科
武汉第二船舶设计研究所,湖北,双非,其他
广东财经大学,广东,双非,财经类
中原工学院,河南,双非,理工
湖北汽车工业学院,湖北,双非,理工
苏州科技大学,江苏,双非,理工
苏州科技大学,江苏,双非,理工
辽宁科技大学,辽宁,双非,理工
重庆科技学院,重庆,双非,理工
沈阳化工大学,辽宁,双非,理工
安徽医科大学,安徽,双非,医药
首都师范大学,北京,双非,综合
五邑大学,广东,双非,综合
河北农业大学,河北,双非,农林
桂林理工大学,广西,双非,理工
苏州科技大学,江苏,双非,理工
常州大学,江苏,双非,理工
北京工商大学,北京,双非,综合
河南大学,河南,双非,综合
杭州师范大学,浙江,双非,师范
重庆科技学院,重庆,双非,理工
四川轻化工大学,四川,双非,理工
温州大学,浙江,双非,综合
天津理工大学,天津,双非,理工
湖南理工学院,湖南,双非,理工
南京信息工程大学,江苏,双非,理工
大连大学,辽宁,双非,综合
武汉材料保护研究所,湖北,双非,其他
安徽农业大学,安徽,双非,农林
广东药科大学,广东,双非,医药
大连工业大学,辽宁,双非,理工
武汉工程大学,湖北,双非,理工
大连工业大学,辽宁,双非,理工
浙江理工大学,浙江,双非,理工
中国计量大学,北京,双非,理工
四川轻化工大学,四川,双非,理工
南方医科大学,广东,双非,医科
佳木斯大学,黑龙江,双非,综合
重庆科技学院,重庆,双非,理工
安徽医科大学,安徽,双非,医药
南昌工程学院,江西,双非,理工
南昌工程学院,江西,双非,理工
南昌工程学院,江西,双非,理工
南昌工程学院,江西,双非,理工
常州大学,江苏,双非,理工
辽宁石油化工大学,辽宁,双非,工科
天津理工大学,天津,双非,理工
安徽大学,安徽,211,综合
黑龙江科技大学,黑龙江,双非,理工
北京科技大学,北京,985,理工
南昌工程学院,江西,双非,理工
福建农林大学,福建,双非,农林
河南大学,河南,双非,综合
桂林电子科技大学,广西,双非,理工
北京石油化工学院,北京,双非,理工
贵州大学,贵州,211,综合
景德镇陶瓷大学,江西,双非,理工
天津理工大学,天津,双非,理工
福建工程学院,福建,双非,理工
闽南师范大学,福建,双非,师范
沈阳药科大学,辽宁,双非,医药
华侨大学,福建,双非,综合
东北石油大学,黑龙江,双非,理工
西南技术物理研究所（209所）,四川,双非,其他
北京科技大学,北京,985,理工
河南科技大学,河南,双非,综合
中国石油大学（北京）,北京,985,理工
东北林业大学,黑龙江,985,林业类
东北石油大学,黑龙江,双非,理工
东北石油大学,黑龙江,双非,理工
东北石油大学,黑龙江,双非,理工
华南农业大学,广东,211,农林
东北石油大学,黑龙江,双非,理工
安徽工业大学,安徽,双非,理工
宁波大学,浙江,双非,综合
闽南师范大学,未知,双非,师范
南京大学,江苏,985,综合
东北石油大学,黑龙江,双非,理工
闽南师范大学,福建,双非,师范
江汉大学,湖北,双非,综合
天津科技大学,天津,双非,理工
浙江农林大学,浙江,双非,农林
浙江理工大学,浙江,双非,理工
中国地质大学（武汉）,湖北,985,理工
河北科技大学,河北,双非,理工
华南师范大学,广东,211,师范
临沂大学,山东,双非,综合
广西民族大学,广西,双非,其他
中国民航大学,天津,双非,理工
重庆理工大学,重庆,双非,理工
广东药科大学,广东,双非,医药
河北科技大学,河北,双非,理工
长春理工大学,吉林,双非,理工
江西理工大学,江西,双非,理工
湖南工业大学,湖南,双非,理工
中原工学院,河南,双非,理工
江汉大学,湖北,双非,综合
中国航天科工集团第三研究院,北京,双非,其他
电信科学技术研究院,北京,双非,其他
榆林学院,山西,双非,综合
哈尔滨工程大学,黑龙江,双非,理工
三峡大学,山东,双非,综合
河南工业大学,河南,双非,理工
河南工业大学,河南,双非,理工
武汉纺织大学,湖北,双非,理工
天津科技大学,天津,双非,理工
上海理工大学,上海,双非,理工
北京航空材料研究院,北京,双非,其他
贵州大学,贵州,211,综合
江西科技师范大学,江西,双非,师范
武汉科技大学,湖北,双非,理工
武汉纺织大学,湖北,双非,理工
中科院长春应用化学研究所,吉林,双非,其他
常州大学,江苏,双非,理工
北京工商大学,北京,双非,综合
杭州师范大学,浙江,双非,师范
浙江理工大学,浙江,双非,理工
浙江科技学院,浙江,双非,理工
阜阳师范大学,安徽,双非,师范
湖州师范学院,浙江,双非,师范
郑州大学,河南,211,综合
中国农业科学院,北京,双非,其他
中科院理化技术研究所,北京,双非,其他
汕头大学,广东,211,综合
渤海大学,辽宁,双非,综合
广西师范大学,广西,双非,师范
广西师范大学,广西,双非,师范
广西师范大学,广西,双非,师范
天津理工大学,天津,双非,理工
辽宁工业大学,辽宁,双非,工科
天津理工大学,天津,双非,理工
重庆大学,重庆,985,综合
中国地质大学（武汉）,湖北,985,理工
太原理工大学,山西,211,理工
河北经贸大学,河北,双非,财经
北京石油化工学院,北京,双非,理工
武汉科技大学,湖北,双非,理工
辽宁科技大学,辽宁,双非,理工
福建工程学院,福建,双非,理工
上海师范大学,上海,双非,师范
武汉纺织大学,湖北,双非,理工
大连海事大学,辽宁,211,理工
长沙理工大学,湖南,双非,理工
湖北大学,湖北,双非,综合
杭州师范大学,浙江,双非,师范
武汉纺织大学,湖北,双非,理工
浙江海洋大学,浙江,双非,"农林
[7]"
武汉纺织大学,湖北,双非,理工
渤海大学,辽宁,双非,综合
渤海大学,辽宁,双非,综合
杭州师范大学,浙江,双非,师范
青岛大学,山东,双非,综合
杭州师范大学,浙江,双非,师范
中国计量大学,浙江,双非,理工
北京航空材料研究院,北京,双非,其他
中国科学院大学,北京,双非,综合
广西大学,广西,211,综合
中国科学技术大学,北京,985,理工
大连工业大学,辽宁,双非,理工
河北大学,河北,双非,综合
沈阳化工大学,辽宁,双非,理工
武汉科技大学,湖北,双非,理工
辽宁工程技术大学,辽宁,双非,理工
齐鲁工业大学,山东,双非,理工
广东海洋大学,广东,双非,农林
重庆科技学院,重庆,双非,理工
中国计量大学,浙江,双非,理工
中科院过程工程研究所,辽宁,双非,其他
中科院长春应用化学研究所,吉林,双非,其他
湖北大学,湖北,双非,综合
武汉轻工大学,湖北,双非,理工
华东交通大学,江西,双非,理工
青岛大学,山东,双非,综合
重庆三峡学院,重庆,双非,"综合
[8]"
重庆交通大学,重庆,双非,理工
苏州科技大学,江苏,双非,理工
中北大学,山西,双非,综合
西南科技大学,四川,双非,理工
重庆科技学院,重庆,双非,理工
东北石油大学,黑龙江,双非,理工
北京协和医学院,北京,双非,医药
厦门理工学院,福建,双非,理工
厦门理工学院,福建,双非,理工
合肥学院,安徽,双非,理工
太原科技大学,山西,双非,工科
重庆交通大学,重庆,双非,理工
河北经贸大学,河北,双非,财经
华东交通大学,江西,双非,理工
武汉轻工大学,湖北,双非,理工
内蒙古科技大学,内蒙古,双非,综合
上海空间电子设备研究所（539）,上海,双非,其他
邯郸净化设备研究所（718所）,河北,双非,其他
北京电子科技学院,北京,双非,理工
湖南师范大学,湖南,211,师范
东北电力大学,吉林,双非,理工
中国地质大学（北京）,北京,985,其他
北京工商大学,北京,双非,综合
复旦大学,上海,双非,综合
安徽农业大学,安徽,双非,农林
首都师范大学,北京,双非,综合
福建农林大学,福建,双非,农林
青岛科技大学,山东,双非,理工
武汉科技大学,湖北,双非,理工
天津理工大学,天津,双非,理工
浙江科技学院,浙江,双非,理工
青岛大学,山东,双非,综合
南阳师范学院,河南,双非,师范
北京物资学院,北京,双非,财经
哈尔滨船舶锅炉涡轮机研究所,黑龙江,双非,其他
汕头大学,广东,211,综合
上海大学,上海,211,综合
上海大学,上海,211,综合
中国舰船研究院,湖北,双非,其他
上海船舶设备研究所,上海,双非,其他
北京物资学院,北京,双非,财经
哈尔滨理工大学,黑龙江,双非,理工
哈尔滨理工大学,黑龙江,双非,理工
青岛科技大学,山东,双非,理工
安庆师范大学,安徽,双非,师范
哈尔滨理工大学,黑龙江,双非,理工
哈尔滨理工大学,黑龙江,双非,理工
东北林业大学,黑龙江,985,林业类
哈尔滨船舶锅炉涡轮机研究所,黑龙江,双非,其他
安徽工业大学,安徽,双非,理工
东北石油大学,黑龙江,双非,理工
湖北汽车工业学院,湖北,双非,理工
中国矿业大学（徐州）,北京,985,综合
西北民族大学,甘肃,双非,综合
天津医科大学,天津,211,医学类
南京林业大学,江苏,双非,农林
青岛大学,山东,双非,综合
福建工程学院,福建,双非,理工
济南大学,山东,双非,综合
东北石油大学,黑龙江,双非,理工
浙江科技学院,浙江,双非,理工
沈阳建筑大学,辽宁,双非,理工
北京石油化工学院,北京,双非,理工
大连工业大学,辽宁,双非,理工
南昌航空大学,江西,双非,理工
郑州机电工程研究所,河南,双非,其他
东北林业大学,黑龙江,985,林业类
内蒙古科技大学,吉林,双非,综合
东北林业大学,黑龙江,985,林业类
青岛大学,山东,双非,综合
五邑大学,广东,双非,综合
常州大学,江苏,双非,理工
昆明理工大学,云南,双非,综合
合肥学院,安徽,双非,理工
南昌航空大学,江西,双非,理工
徐州医科大学,江苏,双非,医药
盐城工学院,江苏,双非,工科
北京石油化工学院,北京,双非,理工
大连工业大学,辽宁,双非,理工
太原科技大学,山西,双非,工科
安徽大学,安徽,211,综合
安徽大学,安徽,211,综合
淮北师范大学,安徽,双非,师范
内蒙古大学,内蒙古,211,综合
东莞理工学院,广东,双非,理工
华东交通大学,江西,双非,理工
东北林业大学,黑龙江,985,林业类
福建农林大学,福建,双非,农林
安徽工业大学,安徽,双非,理工
云南农业大学,云南,双非,农林
中国舰船研究设计中心（701所）,湖北,双非,其他
南宁师范大学,广西,双非,师范
南宁师范大学,广西,双非,师范
南宁师范大学,广西,双非,师范
南宁师范大学,广西,双非,师范
南宁师范大学,广西,双非,师范
南宁师范大学,广西,双非,师范
南宁师范大学,广西,双非,师范
华侨大学,福建,双非,综合
中国舰船研究院,北京,双非,其他
桂林电子科技大学,广西,双非,理工
广西民族大学,广西,双非,其他
西安建筑科技大学,陕西,双非,理工
湖南科技大学,湖南,双非,综合
中国舰船研究院,北京,双非,其他
新疆财经大学,新疆,双非,财经
新疆财经大学,新疆,双非,财经
新疆财经大学,新疆,双非,财经
新疆财经大学,新疆,双非,财经
新疆财经大学,新疆,双非,财经
山东师范大学,山东,双非,师范
安徽工业大学,安徽,双非,理工
南宁师范大学,广西,双非,师范
南宁师范大学,广西,双非,师范
安徽师范大学,安徽,双非,师范
广东医科大学,广东,双非,医药
大连医科大学,辽宁,双非,医药
安徽师范大学,安徽,双非,师范
太原理工大学,山西,211,理工
常州大学,江苏,双非,理工
石家庄铁道大学,河北,双非,理工
南昌航空大学,江西,双非,理工
上海工程技术大学,上海,双非,理工
太原科技大学,山西,双非,工科
太原科技大学,山西,双非,工科
西南医科大学,四川,双非,医药
天津科技大学,天津,双非,理工
青岛大学,山东,双非,综合
华侨大学,福建,双非,综合
华侨大学,福建,双非,综合
河南理工大学,河南,双非,理工
湖北省社会科学院,湖北,双非,其他
华侨大学,福建,双非,综合
宁波大学,浙江,双非,综合
五邑大学,广东,双非,综合
长江大学,湖北,双非,综合
南开大学,天津,985,综合
江苏科技大学,江苏,双非,理工
中共黑龙江省委党校,黑龙江,双非,其他
华南师范大学,广东,211,师范
内蒙古科技大学,内蒙古,双非,综合
福建农林大学,福建,双非,农林
南昌航空大学,江西,双非,理工
上海海事大学,上海,双非,理工
重庆师范大学,重庆,双非,综合
聊城大学,山东,双非,综合性大学
中南民族大学,湖北,双非,综合
绵阳师范学院,四川,双非,师范
郑州机电工程研究所,河南,双非,其他
西南科技大学,四川,双非,理工
福建农林大学,福建,双非,农林
辽宁工业大学,辽宁,双非,工科
辽宁工业大学,辽宁,双非,工科
浙江科技学院,浙江,双非,理工
中国农业科学院,北京,双非,其他
浙江万里学院,浙江,双非,理工
南宁师范大学,广西,双非,师范
上海海事大学,上海,双非,理工
上海海事大学,上海,双非,理工
北京市劳动保护科学研究所,北京,双非,其他
山西农业大学,山西,双非,农林
南宁师范大学,广东,双非,师范
浙江财经大学,浙江,双非,财经
